ModelSim Parent Window: ModelSim - INTEL FPGA STARTER EDITION 2020.1
HWND: 1119804
Size: 2011x1236
Position: (436, 107)

Total child windows: 589

========================================================================================================================

All child windows (sorted by size):
  #       HWND Class                                    Title                          Size            Position             Area      
--------------------------------------------------------------------------------------------------------------------------------------------
233    1317040 Static                                                                  95x15           (1203, 490)          1425      
234    1450116 Static                                                                  94x15           (811, 246)           1410      
235    2037724 Static                                                                  94x15           (715, 246)           1410      
236    2628554 TkChild                                                                 93x15           (868, 471)           1395      
237    2824226 Static                                                                  91x15           (868, 471)           1365      
238    1384584 Static                                                                  88x15           (962, 246)           1320      
239    3021160 TkChild                                                                 88x15           (1151, 246)          1320      
240     986842 TkChild                                                                 88x15           (1151, 246)          1320      
241    1446144 TkChild                                                                 3x432           (2415, 246)          1296      
242    1315178 TkChild                                                                 3x432           (1513, 246)          1296      
243    1512288 TkChild                                                                 3x432           (1410, 246)          1296      
244    1317270 TkChild                                                                 77x15           (1270, 227)          1155      
245    2497084 TkChild                                                                 77x15           (1151, 246)          1155      
246    1253612 TkChild                                                                 60x19           (1080, 165)          1140      
247    3414774 Static                                                                  75x15           (1270, 227)          1125      
248    1186810 Static                                                                  72x15           (1762, 164)          1080      
249    2626746 TkChild                                                                 58x17           (1100, 489)          986       
250    1186876 TkChild                                                                 58x17           (1100, 489)          986       
251    3739698 Static                                                                  61x16           (446, 684)           976       
252    2171028 TkChild                                                                 64x15           (466, 227)           960       
253    2037676 TkChild                                                                 55x17           (906, 245)           935       
254    2367596 TkChild                                                                 55x17           (906, 245)           935       
255    1646742 Static                                                                  62x15           (466, 227)           930       
256    1251820 Static                                                                  56x16           (1249, 684)          896       
257    1642398 Static                                                                  56x15           (1101, 490)          840       
258    1773508 TkChild                                                                 277x3           (911, 236)           831       
259    3086766 TkChild                                                                 277x3           (911, 231)           831       
260    3213692 Static                                                                  53x15           (907, 246)           795       
261    1052566 TkChild                                                                 52x15           (465, 714)           780       
262    2887870 TkChild                                                                 254x3           (532, 236)           762       
263    1319086 TkChild                                                                 254x3           (532, 231)           762       
264    1512600 Static                                                                  50x15           (465, 714)           750       
265    6165846 TkChild                                                                 44x17           (1158, 489)          748       
266    1382832 TkChild                                                                 44x17           (1158, 489)          748       
267    1317992 TkChild                                                                 44x17           (1078, 245)          748       
268    1514528 TkChild                                                                 44x17           (1078, 245)          748       
269    1513682 TkChild                                                                 44x17           (996, 245)           748       
270    3083038 TkChild                                                                 44x17           (996, 245)           748       
271    3350554 Static                                                                  55x13           (451, 1293)          715       
272    2037878 Static                                                                  43x16           (523, 684)           688       
273    2036034 TkChild                                                                 225x3           (963, 480)           675       
274    5115356 TkChild                                                                 225x3           (963, 475)           675       
275    1907186 TkChild                                                                 17x39           (2418, 617)          663       
276    1251772 TkChild                                                                 50x13           (2387, 228)          650       
277    1383224 TkChild                                                                 50x13           (2387, 715)          650       
278    2105004 TkChild                                                                 50x13           (788, 228)           650       
279    1645602 TkChild                                                                 50x13           (1190, 472)          650       
280    3874086 TkChild                                                                 50x13           (1190, 228)          650       
281    1971716 TkChild                                                                 38x17           (1040, 245)          646       
282    2363320 TkChild                                                                 38x17           (1040, 245)          646       
283    1514482 Static                                                                  42x15           (1159, 490)          630       
284    2169106 Static                                                                  42x15           (1079, 246)          630       
285    1448234 Static                                                                  42x15           (997, 246)           630       
286    1775860 TkChild                                                                 26x24           (682, 195)           624       
287    3937490 TkChild                                                                 26x24           (1511, 195)          624       
288    1384422 TkChild                                                                 26x24           (1485, 195)          624       
289    1384424 TkChild                                                                 26x24           (1459, 195)          624       
290    1840386 TkChild                                                                 26x24           (561, 195)           624       
291    1643812 TkChild                                                                 26x24           (535, 195)           624       
292    2168800 TkChild                                                                 26x24           (509, 195)           624       
293    1641222 TkChild                                                                 26x24           (483, 195)           624       
294    1186116 TkChild                                                                 26x24           (457, 195)           624       
295    1447062 TkChild                                                                 26x24           (2352, 163)          624       
296    1840480 TkChild                                                                 26x24           (2326, 163)          624       
297    1445440 TkChild                                                                 26x24           (2300, 163)          624       
298    1186756 TkChild                                                                 26x24           (2274, 163)          624       
299    2758008 TkChild                                                                 26x24           (2248, 163)          624       
300    1712308 TkChild                                                                 26x24           (1306, 163)          624       
301    1384630 TkChild                                                                 26x24           (1280, 163)          624       
302    1773698 TkChild                                                                 26x24           (951, 163)           624       
303    1116266 TkChild                                                                 31x20           (973, 195)           620       
304    2169074 TkChild                                                                 31x20           (942, 195)           620       
305    1315816 TkChild                                                                 31x20           (2177, 163)          620       
306    5245054 TkChild                                                                 31x20           (2124, 163)          620       
307    1251854 TkChild                                                                 31x20           (2093, 163)          620       
308    1252940 TkChild                                                                 31x20           (1480, 163)          620       
309    2430236 TkChild                                                                 31x20           (1449, 163)          620       
310    1383982 TkChild                                                                 31x20           (708, 163)           620       
311    2429210 TkChild                                                                 31x20           (457, 163)           620       
312    1445420 TkChild                                                                 41x15           (868, 227)           615       
313    1382446 Static                                                                  41x15           (1041, 197)          615       
314    1775728 Static                                                                  39x15           (868, 227)           585       
315    1446610 TkChild                                                                 29x20           (1260, 246)          580       
316    1252038 Button                                                                  29x20           (1260, 246)          580       
317    1578902 Static                                                                  37x15           (1554, 164)          555       
318    2233166 Static                                                                  36x15           (1041, 246)          540       
319    3344730 TkChild                                                                 41x13           (1169, 247)          533       
320    1512590 Button                                                                  27x18           (975, 196)           486       
321    1514962 Button                                                                  27x18           (944, 196)           486       
322    1906078 Button                                                                  27x18           (2179, 164)          486       
323    1381464 Button                                                                  27x18           (2126, 164)          486       
324    1252496 Button                                                                  27x18           (2095, 164)          486       
325    1774314 Button                                                                  27x18           (1482, 164)          486       
326    1317184 Button                                                                  27x18           (1451, 164)          486       
327    1120570 Button                                                                  27x18           (710, 164)           486       
328    1710108 Button                                                                  27x18           (459, 164)           486       
329    1246882 TkChild                                                                 22x20           (708, 197)           440       
330    1185342 TkChild                                                                 22x20           (660, 195)           440       
331    1382042 TkChild                                                                 22x20           (638, 195)           440       
332    1187182 TkChild                                                                 22x20           (1614, 197)          440       
333    1708762 TkChild                                                                 22x20           (1592, 197)          440       
334    1644722 TkChild                                                                 22x20           (1570, 197)          440       
335    2038008 TkChild                                                                 22x20           (1548, 197)          440       
336    1777248 TkChild                                                                 22x20           (1419, 195)          440       
337    1971754 TkChild                                                                 22x20           (1397, 195)          440       
338    1120400 TkChild                                                                 22x20           (1375, 195)          440       
339    1773580 TkChild                                                                 22x20           (1353, 195)          440       
340    1775830 TkChild                                                                 22x20           (1331, 195)          440       
341    1971016 TkChild                                                                 22x20           (1309, 195)          440       
342    1382864 TkChild                                                                 22x20           (1004, 195)          440       
343    1249952 TkChild                                                                 22x20           (902, 195)           440       
344    1187066 TkChild                                                                 22x20           (880, 195)           440       
345    2362256 TkChild                                                                 22x20           (858, 195)           440       
346    2956508 TkChild                                                                 22x20           (836, 195)           440       
347    3934446 TkChild                                                                 22x20           (814, 195)           440       
348    1055280 TkChild                                                                 22x20           (792, 195)           440       
349    1642092 TkChild                                                                 22x20           (770, 195)           440       
350    2103704 TkChild                                                                 22x20           (748, 195)           440       
351    1318030 TkChild                                                                 22x20           (598, 197)           440       
352    1250966 TkChild                                                                 22x20           (2378, 165)          440       
353    1970256 TkChild                                                                 22x20           (2208, 163)          440       
354    1906684 TkChild                                                                 22x20           (2155, 163)          440       
355    1908296 TkChild                                                                 22x20           (1511, 163)          440       
356    1973324 TkChild                                                                 22x20           (1416, 163)          440       
357    1907190 TkChild                                                                 22x20           (1394, 163)          440       
358    6621448 TkChild                                                                 22x20           (1372, 163)          440       
359    1974448 TkChild                                                                 22x20           (1332, 165)          440       
360    1974470 TkChild                                                                 22x20           (1247, 165)          440       
361    2302152 TkChild                                                                 22x20           (1225, 165)          440       
362    1450186 TkChild                                                                 22x20           (1203, 165)          440       
363    2957524 TkChild                                                                 22x20           (1181, 165)          440       
364    1319128 TkChild                                                                 22x20           (1159, 165)          440       
365    1515742 TkChild                                                                 22x20           (1054, 165)          440       
366    1513008 TkChild                                                                 22x20           (1021, 165)          440       
367    1122538 TkChild                                                                 22x20           (999, 165)           440       
368    1839018 TkChild                                                                 22x20           (977, 165)           440       
369    3546018 TkChild                                                                 22x20           (911, 163)           440       
370    1774136 TkChild                                                                 22x20           (889, 163)           440       
371    1579582 TkChild                                                                 22x20           (867, 163)           440       
372    1578308 TkChild                                                                 22x20           (845, 163)           440       
373    6821330 TkChild                                                                 22x20           (823, 163)           440       
374    1774210 TkChild                                                                 22x20           (783, 163)           440       
375    1514990 TkChild                                                                 22x20           (761, 163)           440       
376     986682 TkChild                                                                 22x20           (739, 163)           440       
377     984794 TkChild                                                                 22x20           (675, 163)           440       
378    1908008 TkChild                                                                 22x20           (653, 163)           440       
379     921466 TkChild                                                                 22x20           (631, 163)           440       
380    1514198 TkChild                                                                 22x20           (609, 163)           440       
381    1644736 TkChild                                                                 22x20           (587, 163)           440       
382    1379918 TkChild                                                                 22x20           (554, 163)           440       
383     524840 TkChild                                                                 22x20           (532, 163)           440       
384    1184044 TkChild                                                                 22x20           (510, 163)           440       
385    1381028 TkChild                                                                 22x20           (488, 163)           440       
386    2300332 Static                                                                  39x11           (1170, 248)          429       
387    1514936 Button                                                                  20x20           (685, 197)           400       
388    1384426 Button                                                                  20x20           (1514, 197)          400       
389    2295870 Button                                                                  20x20           (1488, 197)          400       
390    1383968 Button                                                                  20x20           (1462, 197)          400       
391    1449926 Button                                                                  20x20           (1268, 196)          400       
392    1842446 Button                                                                  20x20           (1243, 196)          400       
393    1317546 Button                                                                  20x20           (1223, 196)          400       
394    2301428 Button                                                                  20x20           (564, 197)           400       
395    1513788 Button                                                                  20x20           (538, 197)           400       
396    1380354 Button                                                                  20x20           (512, 197)           400       
397     921142 Button                                                                  20x20           (486, 197)           400       
398    3146668 Button                                                                  20x20           (460, 197)           400       
399    1971224 Button                                                                  20x20           (2355, 165)          400       
400    5380018 Button                                                                  20x20           (2329, 165)          400       
401    1252436 Button                                                                  20x20           (2303, 165)          400       
402    3609274 Button                                                                  20x20           (2277, 165)          400       
403    2497940 Button                                                                  20x20           (2251, 165)          400       
404    1319224 Button                                                                  20x20           (1309, 165)          400       
405    1450290 Button                                                                  20x20           (1283, 165)          400       
406    1777912 Button                                                                  20x20           (954, 165)           400       
407    1251724 TkChild                                                                 20x19           (1201, 197)          380       
408    1842838 TkChild                                                                 20x19           (2051, 164)          380       
409    1384050 TkChild                                                                 20x19           (1717, 164)          380       
410    1773916 Button                                                                  18x18           (710, 198)           324       
411    1187808 Button                                                                  18x18           (662, 196)           324       
412     987548 Button                                                                  18x18           (640, 196)           324       
413    2367498 Button                                                                  18x18           (1616, 198)          324       
414    2498550 Button                                                                  18x18           (1594, 198)          324       
415    1253358 Button                                                                  18x18           (1572, 198)          324       
416    1318892 Button                                                                  18x18           (1550, 198)          324       
417    3022360 Button                                                                  18x18           (1421, 196)          324       
418    1973598 Button                                                                  18x18           (1399, 196)          324       
419    3152424 Button                                                                  18x18           (1377, 196)          324       
420    2169672 Button                                                                  18x18           (1355, 196)          324       
421    1318000 Button                                                                  18x18           (1333, 196)          324       
422    3674456 Button                                                                  18x18           (1311, 196)          324       
423    1905964 Button                                                                  18x18           (1006, 196)          324       
424    1253108 Button                                                                  18x18           (904, 196)           324       
425    1515250 Button                                                                  18x18           (882, 196)           324       
426    1122030 Button                                                                  18x18           (860, 196)           324       
427    1384118 Button                                                                  18x18           (838, 196)           324       
428    1513862 Button                                                                  18x18           (816, 196)           324       
429     920368 Button                                                                  18x18           (794, 196)           324       
430    7085374 Button                                                                  18x18           (772, 196)           324       
431    2167214 Button                                                                  18x18           (750, 196)           324       
432    5838590 Button                                                                  18x18           (600, 198)           324       
433    1971246 Button                                                                  18x18           (2380, 166)          324       
434     919850 TkChild                                                                 18x18           (2210, 164)          324       
435    2888284 Button                                                                  18x18           (2157, 164)          324       
436    2494448 Button                                                                  18x18           (1513, 164)          324       
437    2232396 Button                                                                  18x18           (1418, 164)          324       
438    2365414 Button                                                                  18x18           (1396, 164)          324       
439    1968364 Button                                                                  18x18           (1374, 164)          324       
440    2824144 Button                                                                  18x18           (1334, 166)          324       
441    1646892 Button                                                                  18x18           (1249, 166)          324       
442    5120284 Button                                                                  18x18           (1227, 166)          324       
